mcode	date	templag0	rhlag0	pm25	pm10	no2	co	so2	o3	wha	pv.res	DOW	year	POP	POP2	holiday	DATE	month
1	2016/1/1	-0.907132286	69.30769823	176.8	157.8	109.4	3.5	15.4	3.8	5	228	5	2016	12016	42016	TRUE	2016/1/1	1
1	2016/1/2	1.030274214	62.32547053	274.1	64.1	134.5	4.7	16.2	5.2	5	380	6	2016	12016	42016	FALSE	2016/1/2	1
1	2016/1/3	-1.48723923	67.30392894	228.4	3	78	2.8	11.4	13.1	5	366	0	2016	12016	42016	FALSE	2016/1/3	1
1	2016/1/4	-3.11426547	32.39125313	43.8	8	39	0.9	7.4	44	2	871	1	2016	12016	42016	FALSE	2016/1/4	1
1	2016/1/5	-4.30861953	40.1648816	37	42.3	49.5	0.8	14.6	28.8	3	884	2	2016	12016	42016	FALSE	2016/1/5	1
1	2016/1/6	-3.298269133	31.49096849	34.7	45.2	46.8	0.9	10.5	30.2	3	815	3	2016	12016	42016	FALSE	2016/1/6	1
1	2016/1/7	-4.226456803	33.61699426	11.7	22	34.5	0.5	9.5	44.5	2	906	4	2016	12016	42016	FALSE	2016/1/7	1
1	2016/1/8	-4.106731605	39.37899523	34.3	46.6	48	0.9	13.2	35.9	3	797	5	2016	12016	42016	FALSE	2016/1/8	1
1	2016/1/9	-2.545777777	44.34585546	88.1	60.9	78.2	1.7	15.4	11.1	4	505	6	2016	12016	42016	FALSE	2016/1/9	1
1	2016/1/10	-3.668291199	35.94493429	60.6	38.6	68.4	1.5	20.6	15.4	4	397	0	2016	12016	42016	FALSE	2016/1/10	1
1	2016/1/11	-6.381703548	27.50442007	11.4	26	30.2	0.6	7.3	51.7	2	957	1	2016	12016	42016	FALSE	2016/1/11	1
1	2016/1/12	-5.66815462	24.97997955	12.5	24.1	38.5	0.7	9.5	43.6	2	899	2	2016	12016	42016	FALSE	2016/1/12	1
1	2016/1/13	-4.262860107	29.8876453	39.3	56.5	66.4	1.3	17.8	22.6	4	893	3	2016	12016	42016	FALSE	2016/1/13	1
1	2016/1/14	-2.761741278	36.50440541	86	90.5	87	2.5	24.6	16.5	5	938	4	2016	12016	42016	FALSE	2016/1/14	1
1	2016/1/15	-2.226041398	50.07254966	117.5	111.9	94.2	3.1	29.4	10.4	5	901	5	2016	12016	42016	FALSE	2016/1/15	1
1	2016/1/16	-3.011789754	56.90974026	121.5	97.5	73.9	2.5	43.6	7.5	4	523	6	2016	12016	42016	FALSE	2016/1/16	1
1	2016/1/17	-7.146034948	23.21678629	34.8	28.2	29.8	0.8	5.4	52.1	2	334	0	2016	12016	42016	FALSE	2016/1/17	1
1	2016/1/18	-8.513049412	24.13434003	8.1	44.5	21.7	0.6	7.6	60.2	2	958	1	2016	12016	42016	FALSE	2016/1/18	1
2	2016/1/19	-6.160523803	27.34349181	64.8	84.1	65.5	1.7	21.6	16.5	4	973	2	2016	12016	42016	FALSE	2016/1/19	1
2	2016/1/20	-5.461685233	45.51728905	129	139.9	89.7	3.8	53.6	3.8	5	958	3	2016	12016	42016	FALSE	2016/1/20	1
2	2016/1/21	-5.551327335	49.80606821	110.7	90.9	69.9	2.2	27.5	3.2	4	975	4	2016	12016	42016	FALSE	2016/1/21	1
2	2016/1/22	-11.54581175	17.04037308	17.4	53	20.6	0.5	7.1	58.4	2	754	5	2016	12016	42016	FALSE	2016/1/22	1
2	2016/1/23	-14.84451969	18.46020004	9.8	55.5	16.2	0.6	4.7	58.5	2	408	6	2016	12016	42016	FALSE	2016/1/23	1
2	2016/1/24	-7.813134474	24.29550156	10.8	51.8	28.8	0.5	6.9	47	2	325	0	2016	12016	42016	FALSE	2016/1/24	1
2	2016/1/25	-5.252869916	25.08498946	37.2	66.2	67.5	0.9	20.1	22	4	946	1	2016	12016	42016	FALSE	2016/1/25	1
2	2016/1/26	-5.003566618	28.33430322	32.8	60.1	48.9	0.8	16	39.4	3	1087	2	2016	12016	42016	FALSE	2016/1/26	1
2	2016/1/27	-3.564849511	32.70928312	103.1	83.7	85.8	2.1	27.5	11.6	5	1016	3	2016	12016	42016	FALSE	2016/1/27	1
2	2016/1/28	-2.372427393	38.65679604	136.3	42.8	94.9	2.5	37.4	13	5	1021	4	2016	12016	42016	FALSE	2016/1/28	1
2	2016/1/29	-5.505954301	35.31512483	52.7	60.6	49.4	1.5	28.2	22.8	3	925	5	2016	12016	42016	FALSE	2016/1/29	1
2	2016/1/30	-7.117138617	44.91153301	46.3	41.6	54.7	1.1	18.6	22.1	3	491	6	2016	12016	42016	FALSE	2016/1/30	1
